A.bte	abbots
A.lteste[Noun]	elders
AIDS	AIDS
Aal (m)	eel
Aal-a.hnlich[Adjective]	eellike
Aale[Noun]	eels
Aas (n)	carrion
Aasgeier (m)	vulture
Abakus	abacus
Abakus	abacuses
Abbe, Abbé (französischer Titel für Weltgeistliche, z. B. Abbé Pierre)	abbe
Abbildung (f)	image
Abbildung (f)	map
Abc	abc
Abc-Schu.tze	abecedarian
Abdanker, Verzichter, Thronverzichter[Noun]	abdicator
Abdankung	abdication
Abdichtung (f)	seal
Abend (m)	evening
Abendessen (n)	dinner
Abendessen (n)	evening meal
Abendessen (n)	supper
Abendkleid (n)	evening gown
Abends	at night
Abends	in the evening
Abenteuer[Noun]	adventure
Abfahrt (f)	departure
Abfahrt (f)	departures
Abfall (m)	trash
Abfall[Noun]	waste
Abfalleimer[Noun]	wastebasket
Abfluß (f)	outlet
Abfrage (f)	question
Abführmittel (n)	laxative
Abgru.nde[Noun]	abysses
Abgrund; Ho.lle	abyss
Abgrunf	abyss
Abiogenese[Noun]	abiogenesis
Abitur,das[Noun]	baccalaureate
Abku.rzungen	abbreviations
Abkunft (f)	origin
Ablage (f)	tray
Ablagefach (n)	pocket
Ablagekasten (m)	tray
Ablagerung (f)	deposit
Ablativ	ablative
Ablaut	ablaut
Ablehnung[Noun]	unanimous
Ablieferung (f)	delivery
Abmarsch (m)	departure
Abnehmen, Nachlassen[Noun]	abatement
Abnehmen, Nachlassen[Noun]	abatements
Abnormalita.ten	abnormalities
Abnormalität[Noun]	abnormality
Aborigine, Australischer Ureinwohner	aborigine
Aborigines	aborigines
Abrakadabra[Noun]	abracadabra
Abreaktion	abreaction
Abreise (f)	departure
Abreisepforte (f)	departure gate
Absatz (m)	heel
Absatz (m)	landing
Absatz (m)	paragraph
Abschaffung	abolition
Abschaffung, Aufhebung	abrogation
Abschaffung,fem.[Noun]	abolishment
Abschaum (m)	dregs
Abschied (m)	leave
Abschluß (m)	conclusion
Abschnitt (m)	paragraph
Abschnitt (m)	period
Abschrift (f)	copy
Abschu.rfung[Noun]	abrasion
Abschu.rfungen[Noun]	abrasions
Absender (m)	sender
Absinth, Wermut	absinth
Absinth, Wermut	absinthe
Absolutheit	absoluteness
Absorption (f)[Noun]	absorption
Abstammung (f)	tribe
Abstand (m)	space
Abstimmung (f)	vote
Abstinenz, Enthaltung	abstinence
Abstraktheit	abstractedness
Abstraktheit	abstractness
Abstrusita.t	abstrusity
Absturz (m)	fall
Absurdita.t[Noun]	absurdity
Absurdita.ten[Noun]	absurdities
Abszess	abscess
Abszisse	abscissa
Abszissen	abscissae
Abt	abbot
Abtei	abbey
Abteien	abbeys
Abteilung (f)	department
Abteilung (f)	office
Abtreiber/Abtreiberin[Noun]	abortionist
Abtreiber/Abtreiberinnen[Noun]	abortionists
Abtreibung, [Abbruch]	abortion
Abtrennung, Abschneiden	abscission
Abtritt (m)	exit
Abweichung (f)	excursion
Abweichung, Verirrung[Noun]	aberrancy
Abweichung; Verirrung	aberrance
Abweichungen	aberrations
Abwesenheit	absence
Abzug (m)	outlet
Abänderung (f)	revision
Acajoubaumnuß (f)	cashew nut
Achse[Noun]	arbor
Achsel (f)	shoulder
Achselhöhle (f)	armpit
Achtel[Noun]	eighth
Achtung (f)	caution
Achtung (f)	danger
Achtziger[Noun]	eighties
Ackerbau[Noun]	husbands
Adapter (m)	jack
Additionen	additions
Adel[Noun]	nobility
Adjektiv	adjective
Adjektiv (n)	adjective
Adjektive	adjectives
Adler  (m)	eagle
Adler  (m)[Noun]	eagle
Admiral[Noun]	admiral
Adressat (m)	addressee
Adresse (f)	address
Adresse[Noun]	address
Adresseschild (n)	address label
Adverb (n)	adverb
Adverb[Noun]	adverb
Advokat (m)	lawyer
Aepfel	apples
Aerger	anger
Affe[Noun]	ape
Afrika	Africa
Afrika[Noun]	afrika
Agent	agent
Agenten	agents
Agentur (f)	agency
Agnostiker (m)	agnostic
Ahnenforschung (f)	genealogy
Ahorn (m)	maple
Akademie	academy
Akademien (pl)[Noun]	academies
Akazie	acacia
Akklimatisierung[Noun]	acclimation
Akkumulator (m)	battery
Akte (f)	document
Akte (f)	file
Aktenmappe (f)	briefcase
Aktenschrank (m)	filing cabinet
Aktenschublade (f)	filing drawer
Aktentasche (f)	briefcase
Aktiengesellschaft (f)	corporation
Aktion	action
Akzent	accent
Akzent (m)	accent
Akzente (pl)[Noun]	accents
Akzentlos	accentless
Akzeptanz, Annahme	acceptance
Alarm	alarm
Alarm (m)	alarm
Alaska	Alaska
Alkohol (m)	alcohol
Alkohol[Noun]	alcohol
Alkoholik	alcoholic
Allee (f)	avenue
Allergie[Noun]	allergy
Allgegenwart[Noun]	omnipresence
Allmacht[Noun]	omnipotence
Allwissenheit[Noun]	omniscience
Almanach (n)	annual
Alpen (pl)	alps
Alt (m)	alto
Alt-(...)	ex-(...)
Altar[Noun]	altar
Alters	ages
Altestadt (m)	old part of the city
Altstimme (m)	alto
Amateur, Dilletant[Noun]	dabbler
Amerikanische Bügrein (f)	American citizen
Amethyst (m)	amethyst
Amt (n)	office
Amt, Wu.rde	abbacy
Ananas (f)	pineapple
Anarchie (f)	anarchy
Anblick (m)	view
Anbruch (m)	fall
Andenken (n)	memory
Andenken (n)	souvenir
Andenken[Noun]	keepsake
Andenken[Noun]	keepsakes
Andenkenladen (m)	souvenir shop
Anekdote	anecdote
Anekdoten	anecdotes
Anekdotik	anecdotic
Anerkennung	acknowledgement
Anerkennung, Bestaetigung	acknowledgment
Anfang (m)	origin
Anfanger[Noun]	beginner
Anfrage (f)	query
Angabe (f)	account
Angabe (f)	statement
Angebot (n)	bid
Angel (f)	fishing rod
Angel (f)	hinge
Angelnetz (n)	fishing net
Angelrute (f)	fishing rod
Angelschnur (f)	fishing line
Angelspule (f)	fishing reel
Angenehmen	accepted
Angesicht (n)	face
Angewohnheit (f)	custom
Angewohnheit[Noun]	habit
Angler (m)	fisherman
Anhalt (m)	hold
Anhang	appendix
Anhang (m)	appendix
Anker	anchor
Ankerplatz[Noun]	anchorage
Ankunft (f)	arrivals
Ankunfttor (n)	arrival gate
Ankünfte (pl)	arrivals
Anlage (n)	system
Anlagen (f)[Noun]	facilities
Anleitung (f)	guide
Anleitungen (pl)	instructions
Anmaßung (f)	arrogance
Anmerkung (f)	note
Anmut (f)	grace
Anna	Ann
Annahment	acceptant
Annahmungen	acceptances
Annonce (f)	advertisement
Anode (f)	plate
Anrede (f)	address
Anrede (f)	speech
Anruf (m)	call
Ansammlung (f)	collection
Anschlag[Noun]	machination
Anschlagbrett (n)	billboard
Anschlaghammer (m)	hammer
Anschlaghammer (m)	jack hammer
Anschluß (m)	connection
Ansicht (f)	view
Ansichtskarte (f)	postcard
Anspannung (f)	strain
Anstieg (f)	rise
Anstoss (Fussball)[Noun]	kickoff
Anstoß (m)	umbrage
Ansätze (pl)	charges
Antarktika	Antarctica
Anteil (m)	portion
Antenne (f)	aerial
Antenne (f)	antenna
Antialkoholiker (m)	teetotaler
Antonyme (f)	antonym
Antrag (m)	motion
Antwort (f)	response
Anwalt (m)	attorney
Anweisung (f)	money order
Anweisung (f)	statement
Anweisungen (pl)	instructions
Anwendung (f)	use
Anwendung[Noun]	exercise
Anzahlung (f)	deposit
Anzeige	advertisement
Anzeige (f)	advertisement
Anzeigen	advertisements
Anziehungskräfte (pl)	attractions
Anzug (m)	suit
Apathie (f)	apathy
Aperitiv[Noun]	aperitif
Apertif (m)	aperitif
Apfel	apple
Apfel (m)	apple
Apfelmus	applesauce
Apfelsaft (m)	apple juice
Apfelschnaps	applejack
Apfelsine (f)	orange
Apfelsinensaft (m)	orange juice
Apfelwein (m)	cider
Apotheke (f)	pharmacy
Apothekerkunst (f)	pharmacy
Apparat[Noun]	gadgets
Appendix (m)	appendix
Appetit	appetite
Applaus	applause
Aprikose (f)	apricot
April (m)	April
Arbeit	work
Arbeiter (m)[Noun]	worker
Arbeiter[Noun]	laborer
Arbeitsgang (m)	operation
Arbeitskraft (f)	hand
Arbeitstier (n)[Noun]	workhorse
Argentinien	Argentina
Arkade (f)	arcade
Arm (m)	arm
Armaturenbrett, neutr.[Noun]	dashboard
Armaturenbretter, neutr.,pl.[Noun]	dashboards
Armband (m)	bracelet
Armbanduhr (f)	wristwatch
Arme (f)	pauper
Armee (f)	army
Armer (m)	pauper
Arroganz (f)	arrogance
Arschloch[Noun]	asshole
Art (f)	type
Artischochen (pl)	artichokes
Artischocke (f)	artichoke
Arzneimittel (n)	drug
Arzt (m)	doctor
Arztamt (n)	doctor's office
Asche (f)	ash
Aschenbecher (n)	ashtray
Aschenbecker (m)	ashtray
Asien (n)	Asia
Aspirin (n)	aspirin
Ass	ace
Ast (m)	branch
Asthma (n)	asthma
Asyl (n)	asylum
Atem (m)	breath
Atlantik (f)	atlantic ocean
Aubergine (f)	eggplant
Auf geht's![Conjunction]	c'mon
Aufdeckung (f)	exposure
Aufforderung (f)	invitation
Aufgabe (f)	function
Aufgabe[Noun]	exercise
Aufgang (m)	rise
Auflage[Noun]	edition
Auflagen[Noun]	editions
Auflegung (f)	application
Auflistung (f)	list
Aufnahme (f)	reception
Aufruf (m)	call
Aufruhr (m)	riot
Aufruhr, Tumult[Noun]	uproar
Aufschlag[Noun]	markup
Aufschluß (m)	information
Aufschnitt (m)	cold cuts
Aufschnitt (m)	cut
Aufstand (m)	rebellion
Aufstand (m)	revolt
Aufstand (m)	uprising
Aufstrich (m)	spread
Auftrag (m)	mission
Auftrag (m)	order
Aufträge (pl)	instructions
Aufwa.rmen[Noun]	warmup
Aufwand (m)	cost
Aufwo.lbung, Erhebung, Aufruhr[Noun]	upheaval
Aufzeichnungen (pl)	records
Aufzeichnungsgerät (n)	recorder
Aufzug (m)	elevator
Aufzug (m)	lift
Auge (n)	eye
Augenblick (m)	blink
Augenbraue (f)	eyebrow
Augenwimper (m)	eyelash
August (m)	August
Auktion (f)	auction
Ausbeute (f)	yield
Ausbildung[Noun]	education
Ausblick (m)	view
Ausdehnung (f)	extension
Ausdruck (m)	expression
Ausdruck (m)	phrase
Ausfahrt (f)	exit
Ausfall[Noun]	failure
Ausflug (m)	excursion
Ausfuhr (f)	export
Ausfälle[Noun]	failures
Ausführung (f)	statement
Ausgabe (f)	destination
Ausgabe (f)	issue
Ausgabe (f)	number
Ausgabe (f)	version
Ausgang (m)	end
Ausgang (m)	exit
Ausgang (m)	issue
Ausgang (m)	outlet
Ausgang (m)	way out
Ausgleicher, der	balancer
Ausgleicher, die	balancers
Ausguß (m)	sink
Auskunft (f)	information
Auslaß (m)	outlet
Auslese (f)	selection
Auslieferung (f)	delivery
Ausrichtung (f)	justification
Aussage (f)	statement
Ausschlag (m)	rash
Ausschnitt (m)	neck
Ausschnitt[Noun]	neckline
Ausschuß (m)	trash
Aussetzung (f)	exposure
Austattung (f)	environment
Austern (pl)	oysters
Australien	Australia
Australier (m)	Australian
Ausverkauf (m)	clearance sale
Ausverkauf (m)	sale
Auswahl (f)	selection
Auswanderer[Noun]	migrant
Auswanderer[Noun]	migrants
Ausweis (m)	identification
Auswirkung (f)	effect
Auszeichnung (f)[Noun]	accolade
Auto (n)	car
Autobahn (f)	freeway
Autobahn (f)	motorway
Autobus (m)	bus
Autofahrer (m)	driver
Autograph (n)	autograph
Autor (m)	author
Autowerkstatt (f)	garage
Außenbordmotor (m)	outboard motor
Außenseite (f)	outside
BEFRIEDEN[Verb]	pacify
BH (m)	bra
Ba.renklau, Akanthus	acanthus
Baby (n)	baby
Baby, -s	baby
Babysitten	babysitting
Babysitter	babysitters
Babysitter[Noun]	babysitter
Bacchanalie, Orgie[Noun]	bacchanal
Backe (f)	cheek
Backenzahn (m)	molar
Backgammon[Noun]	backgammon
Backpflaume (f)	prune
Backwaren, die	bakings
Bad (n)	bath
